1
10,000
10,001
10,006
10,007
10,010
10,047
10,065
10,072
10,082
101,034
10,128
10,137
10,147
10,152
10,164
10164
10,169
101,946
10,200
102,040
102,078
10,256
10,260
10,267
10,271
102,721
102,772
10,286
10,294
10,301
103,250
10,343
10,350
10,381
10,397
10397
10,444
104,500
10,455
10,456
10,462
10,472
10472
104,779
10,499
105,000
105,036
10,527
105,310
10,582
10,588
10,614
10,635
10,638
10,657
10657
10,661
106,647
10,674
106,757
10,698
10,722
10,763
10,780
10,785
10,787
10,800
108,220
10,832
10,891
108,938
10,894
10,934
10,997
110,000
11,027
110,294
11,040
110,414
11,047
11,070
11,078
11,086
11,088
11,100
112,000
11,205
112,050
112,260
11,229
11,250
112,540
11,261
11,294
113,000
11,307
11,321
11321
113,420
11,372
11,377
11,378
11,385
11,386
11,390
113,900
11,394
11,396
11396
11,400
114,271
11,452
1,147,985
11,511
11,524
11,538
11,550
11,574
115,853
11,631
11,644
11,685
11,696
11,704
11,705
11,710
11,730
117,604
118,000
11,820
11,826
11,827
11,828
118,775
11,886
11,888
119,026
11,956
119,595
11,971
11,972
11,992
11,995
12,000
12,012
12,021
12,031
12,086
12,102
121,076
12,119
12,132
12,162
121,926
121,951
12,216
122,210
122,426
122,442
122,448
12,262
12,281
12,287
12,291
122,925
12,300
12,318
12,320
12,346
12,349
12,379
12,380
12,390
12,449
12,450
124,500
124,762
12,478
1,248
12,500
12,512
12512
12,529
12,602
126,044
12,606
12,607
12,660
126,666
12,686
12,699
12,705
127,125
12,736
127,598
12,762
12,765
12,801
128,138
12,814
12,825
12,854
12,867
12,900
12,913
12,914
12,915
12,931
12,938
12,945
12,980
129,800
12,989
12,996
13,000
13,001
13,061
13,098
131,000
13,111
13,126
13,138
1,317
13,191
13,197
13,222
13,232
13,235
132,352
13,256
13,274
132,751
13,293
13,321
13,384
13,386
13,450
134,828
13,529
13,530
13,531
13,585
13,610
13,618
13,646
13,649
13,650
13,695
13,763
13,826
13,837
13,838
13,862
13,863
13,928
13,968
13,971
13,986
14,006
14,013
140,325
14,036
14,068
14,076
14,160
141,775
142,059
14,232
142,375
14,238
14,242
142,499
142,500
