"Id","RaceID","Course","Time","Dist","RaceDesc","Class","AgeLimit","Value","Going","Run","No","Draw","Form","Horse","Days","CDB","Age","Weight","Aid","Trainer","Jockey","Allow","OR","BR2","BR3","BRY","Odds","WtLbs"
21,2,"Ascot","13:50","2m 7f 180y","Ebony Horse Club Reynoldstown Novices' Chase (Grade 2) (GBB Race)","1","5YO plus","42,712","Good to Soft","5","4",,"21/11-13","Peaky Boy","63","bf","7","11-2","","Jonjo & A J O'Neill","Nick Scholfield",,"140","0","0","0","10/1","156"
22,2,"Ascot","13:50","2m 7f 180y","Ebony Horse Club Reynoldstown Novices' Chase (Grade 2) (GBB Race)","1","5YO plus","42,712","Good to Soft","5","5",,"42-F222","The Changing Man","21","D bf","8","11-2","t","J Tizzard","Brendan Powell",,"138","0","0","0","7/1","156"
23,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","1",,"9/230-21","Altobelli","28","CD","7","12-0","t p","H Fry","Bryan Carver",,"137","0","0","0","4/1","168"
24,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","2",,"F333/2-4","Samarrive (FR)","105","D","8","11-13","","P F Nicholls","H Cobden",,"136","0","0","0","14/1","167"
25,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","3",,"FP-7053","Joyeux Machin (FR)","14","D","8","11-10","","D Skelton","Harry Skelton",,"133","0","0","0","10/3","164"
26,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","4",,"64/1-715","Rightsotom (GER)","49","D","6","11-8","t1","J Tizzard","Brendan Powell",,"131","0","0","0","14/1","162"
27,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","5",,"2-U81U1","Classic King","21","D","7","11-8","","Miss E C Lavelle","Rex Dingle",,"131","0","0","0","8/1","162"
28,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","6",,"05-F643","Spirit D'aunou (FR)","22",,"6","11-4","","G & J Moore","Freddie Mitchell","5","127","0","0","0","20/1","158"
29,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","7",,"11-3546","Tintintin (FR)","64",,"6","11-3","t","F O'Brien","J J Burke",,"126","0","0","0","14/1","157"
30,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","8",,"3114-02","Into The Park","58","bf","6","11-2","","P Hobbs & J White","M G Nolan",,"125","0","0","0","14/1","156"
31,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","9",,"2336-21","La Pinsonniere (FR)","23",,"5","11-2","","N J Henderson","N de Boinville",,"125","0","0","0","25/1","156"
32,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","10",,"218645","Tapley","51",,"8","11-0","","Miss S Smith","Harry Bannister",,"123","0","0","0","25/1","154"
33,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","11",,"32-25U2","Patriotik (FR)","51","D","6","10-13","","Evan Williams","Isabel Williams","3","122","0","0","0","7/1","153"
34,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","12",,"B232F2","Country Park","28",,"6","10-12","p1","Jonjo & A J O'Neill","Jonjo O'Neill Jr.",,"121","0","0","0","12/1","152"
35,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","13",,"P3-U221","Jour D'evasion (FR)","31","D","6","10-12","t","H D Daly","David Bass",,"121","0","0","0","10/1","152"
36,3,"Ascot","14:25","2m 3f 58y","Betfair Exchange Handicap Hurdle (GBB Race)","2","4YO plus","26,015","Good to Soft","14","14",,"1URR43","Moveit Like Minnie","28","D","8","10-10","t p","N A Twiston-Davies","Finn Lambert","3","119","0","0","0","16/1","150"
37,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","1",,"4/2210-3","Threeunderthrufive","56","CD","10","12-0","t p","P F Nicholls","H Cobden",,"153","0","0","0","10/1","168"
38,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","2",,"174P-31","Victtorino (FR)","56","CD","7","11-7","","Miss V Williams","Charlie Deutsch",,"146","0","0","0","11/4","161"
39,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","3",,"31F-131","Terresita","28","D C","8","11-1","","L Wadham","Tom Cannon",,"140","0","0","0","6/1","155"
40,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","4",,"710/0P4","Annsam","28","CD","10","11-1","","Evan Williams","Adam Wedge",,"140","0","0","0","14/1","155"
41,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","5",,"4931-P3","Goshen (FR)","14","C","9","11-1","p","G & J Moore","David Noonan",,"140","0","0","0","25/1","155"
42,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","6",,"176-411","Hasthing (FR)","29",,"8","10-8","","Jonjo & A J O'Neill","Jonjo O'Neill Jr.",,"133","0","0","0","10/3","148"
43,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","7",,"1P1-256","Highstakesplayer","50","D","9","10-8","","T Lacey","David Bass",,"133","0","0","0","14/1","148"
44,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","8",,"P/4P-323","Monte Igueldo (FR)","94",,"8","10-7","t","G Hanmer","James Davies",,"132","0","0","0","16/1","147"
45,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","9",,"1466P-1","Wiseguy","77","D","9","10-6","","N J Henderson","N de Boinville",,"131","0","0","0","10/1","146"
46,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","10",,"4145-24","Java Point","64","D","10","10-4","t","Henry Oliver","J J Burke",,"129","0","0","0","14/1","144"
47,4,"Ascot","15:00","2m 7f 180y","Betfair Swinley Handicap Chase (Premier Handicap) (GBB Race)","1","5YO plus","56,950","Good to Soft","11","11",,"127-223","Snipe","21","D","8","10-3","","D Skelton","Harry Skelton",,"128","0","0","0","8/1","143"
48,5,"Ascot","15:37","2m 5f 8y","Betfair Ascot Chase (Grade 1) (GBB Race)","1","5YO plus","99,662","Good to Soft","6","1",,"283/4-46","Blue Lord (FR)","50","D","10","11-10","t","W P Mullins","J J Slevin",,"155","0","0","0","12/1","164"
49,5,"Ascot","15:37","2m 5f 8y","Betfair Ascot Chase (Grade 1) (GBB Race)","1","5YO plus","99,662","Good to Soft","6","2",,"2F13-26","Corbetts Cross","51","D","8","11-10","","E Mullins","M P Walsh",,"163","0","0","0","2/1","164"
50,5,"Ascot","15:37","2m 5f 8y","Betfair Ascot Chase (Grade 1) (GBB Race)","1","5YO plus","99,662","Good to Soft","6","3",,"784533","Flegmatik (FR)","8","D bf","10","11-10","t p","D Skelton","Harry Skelton",,"130","0","0","0","100/1","164"
51,5,"Ascot","15:37","2m 5f 8y","Betfair Ascot Chase (Grade 1) (GBB Race)","1","5YO plus","99,662","Good to Soft","6","4",,"U/124-31","L'homme Presse (FR)","21","CD","10","11-10","","Miss V Williams","Charlie Deutsch",,"163","0","0","0","5/2","164"
52,5,"Ascot","15:37","2m 5f 8y","Betfair Ascot Chase (Grade 1) (GBB Race)","1","5YO plus","99,662","Good to Soft","6","5",,"114P-10","Le Patron (FR)","63","D","7","11-10","","G & J Moore","David Noonan",,"152","0","0","0","16/1","164"
53,5,"Ascot","15:37","2m 5f 8y","Betfair Ascot Chase (Grade 1) (GBB Race)","1","5YO plus","99,662","Good to Soft","6","6",,"1/121P-1","Pic D'orhy (FR)","84","CD","10","11-10","t","P F Nicholls","H Cobden",,"161","0","0","0","7/4","164"
54,6,"Ascot","16:10","2m 3f 58y","Betfair Racing Podcasts Novices' Hurdle (GBB Race)","2","5YO plus","13,008","Good to Soft","6","1",,"15-122","Crest Of Fortune","45","D bf","5","11-7","b1","A J Honeyball","H Cobden",,"124","0","0","0","9/4","161"
