Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
6,Ascot,3,Kingston Pride,11-7,N J Henderson,N de Boinville,-,1/21-1P,,71,6,,,D   bf
6,Ascot,4,Groovy Blue,11-2,B Pauling,Ben Jones,-,8-16P,,48,6,,,   
6,Ascot,5,Old Cowboy,11-2,G & J Moore,David Noonan,-,42-33,,14,5,,,   
6,Ascot,6,Just A Rose (FR),11-0,,Non Runner,-,1-1,,28,6,,,D   
7,Ascot,1,Belle Le Grand,11-6,D Skelton,Harry Skelton,-,3-F41,,131,6,t,,D   
7,Ascot,2,Jackie Hobbs,11-6,Harry Derham,H Cobden,-,1-1,,73,5,,,D   
7,Ascot,3,Chanelle Noir,11-2,Ben Clarke,Miss Chloe Emsley,-,,,,5,t1,,   
7,Ascot,4,Compromising,11-2,L Wadham,Tom Cannon,-,0,,46,5,,,   
7,Ascot,5,Izakaya (GER),11-2,Camilla Poulton,James Davies,-,,,,6,,,   
7,Ascot,6,Just A Heartbeat,11-2,H Fry,Miss Megan Bevan,-,4,,111,6,t,,   
7,Ascot,7,Neon Madonna,11-2,H Fry,Bryan Carver,-,7,,30,5,,,   
7,Ascot,8,Rue De Lota (FR),11-2,Thomas Gallagher,J M Quinlan,-,,,,5,,,   
7,Ascot,9,Sure To Please,11-2,Evan Williams,Adam Wedge,-,86,,11,5,,,   
7,Ascot,10,Laffer Curve,10-4,T H Weston,Ben Jones,-,,,,4,,,   
8,Haydock,1,Supremely West,12-0,Dr R Newland & J Insole,Charlie Hammond,137,2222-31,,56,7,b,,  CD 
8,Haydock,2,Minella Sixo,12-0,G Elliott,J C Gainford,137,112123,,51,6,,,   
8,Haydock,3,Uncle Bert,11-13,N A Twiston-Davies,James Turner,136,7-3P231,,28,8,,5,  CD 
8,Haydock,4,My Trump Card,11-11,G Elliott,C P Millar,134,121-0U7,,28,7,p1,5,   
8,Haydock,5,Jipcot (FR),11-8,Jonjo & A J O'Neill,Kielan Woods,131,13-7813,,27,6,t,,   
8,Haydock,6,Gale Mahler,11-4,A Keatley,Henry Brooke,127,112342,,14,6,p,,   
8,Haydock,7,Doddiethegreat,11-3,N J Henderson,B S Hughes,126,407-5PP,,28,9,p1,,   
8,Haydock,8,One Big Bang,11-3,James Owen,Jamie Brace,126,11-2246,,35,7,,5,  CD 
8,Haydock,9,Nab Wood,11-1,N G Richards,Sean Quinlan,124,7211-62,,26,8,,,   
8,Haydock,10,My Bobby Dazzler,11-0,Mrs M Rowley,Toby Wynne,123,2827-27,,104,10,,3,D   
8,Haydock,11,Bingoo,10-13,James Moffatt,Charlotte Jones,122,10P3-U7,,51,9,,,   
8,Haydock,12,Kilbarry Hill,10-12,O Murphy,S Bowen,121,32-1112,,28,7,t,,D   
8,Haydock,13,Chasingouttheblues,10-9,M Walford,Jamie Hamilton,118,351711,,25,6,,,D   
8,Haydock,14,I Am Max,10-9,A M Thomson,Danny McMenamin,118,11-3F22,,28,7,,,   
9,Haydock,1,Gibbs Island,11-5,T Lacey,Stan Sheppard,-,1,,20,4,,,   
9,Haydock,2,Lavender Hill Mob,11-5,James Owen,S Bowen,121,241,,26,4,,,D   
9,Haydock,3,Marche D'aligre (FR),11-5,Jamie Snowden,G Sheehan,121,12,,50,4,,,D   
9,Haydock,4,Give It To Me Oj,11-0,G & J Moore,Caoilin Quinn,-,3,,111,4,,,   
9,Haydock,5,Sophie Power (FR),10-7,H Dickin,Benjamin Poste,101,P44,,18,4,t h,,   
10,Haydock,1,Nocte Volatus,11-12,T Lacey,Mr Toby McCain-Mitchell,130,46-1122,,29,10,t,7,D   bf
10,Haydock,2,The Edgar Wallace,11-9,K Bailey & M Nicholls,Thomas Bellamy,127,220-443,,29,10,t p,,D   
10,Haydock,3,The Flier Begley,11-7,G Hanmer,Jack Hogan,125,11P321,,29,10,,3,D   
10,Haydock,4,Dubai Days,11-6,N W Alexander,Bruce Lynn,124,654212-,,322,11,t h,,D   
10,Haydock,5,Eaton Collina,11-4,Kerry Lee,Liam Harrison,122,511-533,,23,10,,,D   
